"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/","特別企画 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag","HowMaマガジン","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","HowMaマガジン - 2ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/otoiawase/new","お問い合わせ | 不動産AI査定のHowMa","0","","","","","","","Non-Indexable","noindex"
"https://www.how-ma.com/privacy","不動産AI査定のHowMa","0","","","","","","","Non-Indexable","noindex"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","3,300万円で買った物件がAI査定で4,000万円？浅草のワンルームで900万円の利益を出した公務員投資家がつかんだ「売り時のサイン」 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","家族が増えて3LDKが手狭になり、AI査定で住み替えを決断するまでの1年 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","コラボ査定インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/","【HowMa 不動産売却無料査定】高く・早く・損しない不動産売却のためのAI査定サイト","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/authors/","HowMaマガジンの著者一覧 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","プロ不動産投資家はHowMaを使う！仲介手数料を抑え、希望価格以上で売った秘訣を暴露 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/news/","ニュース | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/market/","市況 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/","インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/sell/","売却 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","8年住んだ不動産売却で利益を出せた理由はHowMaのAI査定！冷静な判断が導いた理想の売却 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/sales-negotiation/","買主と価格交渉する際に注意点と5つのチェックポイント | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/price-change/","2025年12月更新｜家がなかなか売れないとき…売出し価格変更のタイミングやポイント | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","AI査定＋450万円で目黒のマンションを売却！不動産会社選びの正解が見えない不安をどう乗り越えたのか | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/money/","ローン・税金等 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","AI査定で不動産の出口を見極めた。10年保有の投資マンションを1ヶ月で売却できた50代投資家の決断 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/page/3/","HowMaマガジン - 3ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/buy/","購入 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","AI査定＋自宅の強みの正確なプレゼンで高額売却！20年住んだ篠山市の戸建てを査定額より数百万円高く売却できたリアル体験談 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","AI査定で不動産売却を決断し、90万の値下げのみで売却成功！会社員投資家のリアル体験記 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","AI査定の結果が人生を動かした！投資マンションが購入より100万アップで売れるまでのリアル | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/souba-kyukyoku/","2025年11月更新｜誰にも知られず自宅の相場価格を調べる究極の方法【土地・戸建・マンション別】 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/content_policy/","HowMaマガジンの運営ポリシー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","AI査定を信じて2年越しの売却成功！サブリースマンションを売却できたのはHowMaで出会った不動産会社のおかげ | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/5822","鷺沼の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/7208","西鉄平尾の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/5821","宮前平の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/7209","高宮の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/6003","西新宿の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/9512","中津の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/青森県","青森県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/東京都/練馬区","東京都練馬区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/7210","大橋の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/京都府","京都府のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/山梨県","山梨県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/大分県","大分県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/owner-change","2025年11月更新｜オーナーチェンジ物件を売買するときには何に気をつけるべき？ | HowMaマガジン","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mansions/search/東京都/文京区","東京都文京区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/滋賀県","滋賀県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/9044","新栄町の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/page/3/","特別企画 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 3ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/page/2/","特別企画 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 2ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/page/4/","特別企画 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 4ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/愛知県/名古屋市","愛知県名古屋市のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-7544/","女性不動産オーナーに聞く「私がマンションを買った理由」Vol:1 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/how-to-identify-a-good-real-estate-salesman/","とある不動産営業マンの裏話vol.1（そこから学ぶ良い営業マンの見極め方とは） | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/if-series-comic-syojiki-keiyaku/","正直不動産の世界にHowMaがあったら〜専属専任媒介契約よりも一般媒介契約〜 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-6974/","スルガ銀行の不良債権はどこまで拡大するのか？投資家への調査を実施 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/buy/mansion-soba-23ku/","2025年11月更新｜東京23区の中古マンション売却相場価格が最も高い・安い区は？相場上昇が予想される5つの要因も解説 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/condominium-property-values/","高層階がいい？同じマンション内で資産価値が下がりにくい5つのポイント | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-5918/","空き家活用クラウドファンディングで、いらない不動産の活用を考える！ | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/post-6640/","現役不動産営業マン激白！仲介業者の「オモテとウラ」ぶっちゃけトーク | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-5804/","日本初の55階大型マンションの修繕費はどの程度？国内初のタワマン大規模修繕の費用を解説 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-7591/","不動産会社の営業マンは何をやっているの？〜売出し物件の獲得方法〜 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-31/","初めての相続→実家じまいで、手探りで10ヶ月格闘の末に手に入れた本当の「安心」＝「AI査定」 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-32/","「自宅を建てて3年で転勤。でも後悔してない。」31歳パパが注文住宅を手放さず、賃貸に出すと決めた理由 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-33/","「転勤で家を売るなんて無理！」と思った主婦が、AI査定で3ヶ月だけで納得の売却を成功させたたった2つの戦略 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-34/","住んでない大分の実家が1ヶ月・購入金額980万で売却できた！AI査定で成功した実家処分 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/ccompletion-of-sale-interview-36/","ダブルローンにお悩みの方必読！AI査定で値下げなしで売却！10年住んだ杉並から新宿へ納得の住み替え体験談 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-30/","不動産投資に騙されたが売却で回避！AI査定で心を保ち9ヶ月で売却を勝ち取った話 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/岡山県","岡山県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-28/","不動産投資歴10年の「AI査定を使いこなす投資家」が語る売却益を出せた「勝ち筋」の磨き方 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/山形県","山形県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-29/","AI査定が私の「不動産売却の武器」でした。4社比較して1ヶ月で投資マンションを速く売った方法 | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/users/sign_up","【完全無料】不動産の査定額がネット上ですぐわかる","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-37/","7つの不動産を所有するIT社長が明かす、不動産投資の出口戦略。AI査定は感情のブレーキだ | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/terms","不動産AI査定のHowMa","0","","","","","","","Non-Indexable","noindex"
"https://www.how-ma.com/mansions","全国のマンションを探す | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/faq","不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-35/","「草刈り地獄」の相続実家が値引きゼロ・3ヶ月で売れた理由は？ | HowMaマガジン","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/page/4/","HowMaマガジン - 4ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/areas","全国不動産査定・相場 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/users/sign_in","ログイン | 不動産AI査定のHowMa","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/category/consultationroom/","HowMa不動産売却なんでも相談室 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/福島県","福島県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/online-selling-interview/","オンライン売却お客様インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/interview-online-sell-20220425/","希望価格で売ることを優先したのに1ヶ月のスピード売却に成功！ | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/improve-realestate-industry-by-it/","ITで変わる！不動産売却の新常識「電話なしでも売却可能」なサービス体験談 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/magazine/","magazine | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/interview/post-11195/","2週間で売却完了。予想より1000万円高く売れて驚きでした〜HowMaオンライン売却ご利用者様インタビュー（vol.7）〜 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-2/","AI査定とコラボ査定で高額売却！6ヶ月で80万の値引きだけで売れた理由 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/page/3/","コラボ査定インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 3ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/page/4/","コラボ査定インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 4ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/page/5/","コラボ査定インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 5ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/howto-sumikae","2025年11月更新｜はじめての自宅の住み替え完全ガイド：簡単？難しい？ | HowMaマガジン","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mansions/search/北海道/札幌市","北海道札幌市のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/page/2/","コラボ査定インタビュー | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです - 2ページ目","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/10561","西新の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/東京都/足立区","東京都足立区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/大阪府/堺市","大阪府堺市のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/7753","西新宿五丁目の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/埼玉県","埼玉県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/沖縄県","沖縄県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/condominium-sale-procedures","マンション売却は難しくない！必要な税金や手続きを確認しよう【2025年最新版】 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mansions/search/富山県","富山県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/東京都/新宿区","東京都新宿区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/6096","新富町の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/東京都/北区","東京都北区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/熊本県","熊本県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/8279","多摩センターの駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/7742","勝どきの駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/5917","黄金町の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/10584","薬院大通の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/10582","六本松の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations","駅相場情報 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/京都府/京都市","京都府京都市のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mag/sell/self_selling","2025年11月更新｜土地の個人売買は本当に得？危険？メリット・リスクを徹底解説 | HowMaマガジン","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/market_price/stations/1672","武蔵小金井の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/market_price/stations/5906","京急鶴見の駅ごとのマンション売却相場・価格推移・将来性 | 不動産AI査定のHowMa","0","","","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/秋田県","秋田県のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/兵庫県/神戸市","兵庫県神戸市のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
"https://www.how-ma.com/mansions/search/東京都/渋谷区","東京都渋谷区のマンション査定・相場・販売事例 | 不動産AI査定のHowMa","1","ja","https://www.how-ma.com/","","","","","Indexable",""
